node,degree,pagerank,eigenvector,community
1,91,2.930146151506269e-05,3.3891656391600906e-06,0
294935,116,4.596603435725355e-06,0.09044315024908872,1
294936,114,4.4312853822331195e-06,0.09089005256566085,1
294937,113,4.3836866760375875e-06,0.09044315024908872,1
98329,74,2.1553106751231154e-05,0.0003198008299606016,2
98359,48,2.0345613395557992e-05,1.043123179870177e-09,3
61,46,1.7118417762134298e-05,2.5475606684303995e-06,3
32836,60,3.076069650386757e-05,0.00022890548387246792,3
98380,52,2.3115860253526845e-05,7.134766999527041e-08,3
98381,63,2.506579137802368e-05,4.619716567621963e-07,3
32845,44,1.3486522010974708e-05,5.31112506855367e-07,4
229454,42,5.582085890888053e-06,1.0470037938748962e-08,2
229456,42,6.1869187645030485e-06,1.7775748049736995e-07,2
98406,88,2.738539649840072e-05,7.92964349663631e-07,5
131186,42,1.4708811922276399e-05,2.41852687754112e-07,3
32884,50,1.2667483881538588e-05,3.637790147998494e-06,0
131213,41,9.710973890250701e-06,3.90016946287017e-07,2
32910,47,1.5251413970153741e-05,1.3366078968224587e-06,2
98453,63,3.09126739575435e-05,1.3834770155134358e-05,5
131224,41,1.125407949691132e-05,1.7457277462783898e-06,2
98458,58,1.6952278694846385e-05,1.1097927900398406e-05,2
32922,41,1.0793108177008524e-05,2.3836308369975942e-07,6
32926,43,1.731470836594872e-05,3.4639445662661887e-07,0
65695,44,1.3706352309560891e-05,1.2885320772439133e-05,0
32938,40,1.5547374125578525e-05,2.0463664467763214e-07,7
65707,63,2.3414208606086015e-05,2.700517207855421e-11,6
131243,47,7.925891259071944e-06,0.007002839732246504,1
32941,64,2.217646290069265e-05,5.200190852060337e-11,8
32939,43,2.2320741305265453e-05,6.000413860874934e-08,9
65720,174,4.2071108845249665e-05,3.8861326878699025e-06,6
32952,118,2.691190927088373e-05,2.3370081263925785e-08,7
98494,49,1.4159058874713787e-05,9.08897561769909e-08,5
262338,45,1.7386464668673313e-05,8.156162164963655e-08,3
32967,42,1.3052720380614708e-05,4.913618607622614e-06,2
65756,50,1.9465176865494277e-05,3.6494554854914363e-09,9
164060,45,1.7014533987115562e-05,4.505125041723326e-08,10
65760,82,3.4548060766736866e-05,7.492381686266708e-07,2
98542,47,1.345254545673345e-05,3.668672669003605e-08,3
131314,41,1.9810459939643766e-05,2.1704168051278257e-10,5
65783,41,1.3966362217609849e-05,7.712718697368557e-06,0
98552,58,1.4150743251271422e-05,2.483927318929753e-05,2
229637,50,6.326319671220306e-06,7.540428196123848e-06,11
229638,58,9.678276325140777e-06,7.540428196123848e-06,11
229639,48,5.617973656790054e-06,7.540428196123848e-06,11
229640,48,5.617973656790054e-06,7.540428196123848e-06,11
229641,48,5.617973656790054e-06,7.540428196123848e-06,11
229642,48,5.617973656790054e-06,7.540428196123848e-06,11
229643,53,7.370095922325398e-06,7.540428196123848e-06,11
269,44,1.4042388061952319e-05,2.3746885763403924e-06,0
98588,45,1.3392169886364875e-05,9.259404124763918e-09,2
33053,70,2.7253653708186508e-05,1.9375095351768522e-07,2
33064,133,3.960128381681007e-05,1.5013755240609736e-05,0
98618,219,6.626157901421276e-05,1.4322838732923808e-06,3
65852,41,2.294285530433795e-05,1.076920426706977e-92,12
164170,80,1.621713486281649e-05,2.156208180106278e-06,5
33109,64,2.3003439621568414e-05,3.360650261997888e-07,0
131425,53,1.1239982862578534e-05,1.8640619464184885e-05,10
33126,208,5.467095150694115e-05,0.0002565399871687268,0
65899,53,1.4908743305306518e-05,1.1693590314901434e-08,9
262520,51,7.55670038782762e-06,1.3124856273844176e-08,7
229756,120,7.064723655573756e-06,0.09044997273304896,1
33148,101,2.933793649016138e-05,9.722477479072043e-06,0
33149,90,2.311960502269316e-05,2.09936429034995e-05,13
164224,45,8.205385307401608e-06,4.242496962524705e-07,5
386,43,1.1630893412385402e-05,6.298980330664855e-09,14
65928,79,2.5294635620941137e-05,1.0883842535140353e-07,5
229768,47,1.4291139512431761e-05,1.4401250294217755e-05,3
328086,50,5.463539063191612e-06,5.409272594003221e-07,13
328087,67,7.610724658674363e-06,7.380618775379822e-07,13
